latitude,longitude,Cod,UBS,Borough,Population
-23.63023996,-46.44358635,2787873,UBS JARDIM SANTO ANDRE,JARDIM SANTO ANDRE,36121
-23.516289,-46.42710686,4050207,UBS V NOVA CURUCA,SAO MIGUEL PAULISTA,24377
-23.85275602,-46.71524048,6332463,UBS JARDIM SILVEIRA,SILVEIRA,3178
-23.84166241,-46.7371273,6332528,UBS VILA ROSCHEL,VILA ROSCHEL,6248
-23.77161384,-46.71275139,2787229,UBS JARDIM CAMPINAS,JARDIM MARIA AMALIA,16125
-23.548,-46.636,2789272,UBS VILA ZATT,VILA ZATT,19027
-23.87765765,-46.65022373,6332420,UBS BARRAGEM,BARRAGEM,4587
-23.548,-46.636,2027690,UBS DONA MARIQUINHA SCIASCIA,TREMEMBE,25991
-23.53673816,-46.59554958,2752174,UBS BELENZINHO MARCUS WOLOSKER,BELENZINHO,59093
-23.71077061,-46.65288448,2787180,UBS JD APURA,JD APURA,9625
-23.47583055,-46.6304183,2752212,UBS DOMINGOS MAZZONETO DE CILO VILA AURORA,CHACARA DO ENCOSTO,25375
-23.6124301,-46.60393953,2788128,UBS MOINHO VELHO II,MOINHO VELHO,18443
-23.68527889,-46.66136026,3996115,UBS SAO JORGE CIDADE ADEMAR,SAO JORGE,16063
-23.6353898,-46.69925451,2765993,UBS CHACARA SANTO ANTONIO DR MARCILIO DE ARRUDA PENTEADO F,CHACARA STO ANTONIO,39688
-23.62089515,-46.68768883,2027380,UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO,VL CORDEIRO,23783
-23.53221059,-46.70092821,2788985,UBS V IPOJUCA WANDA COELHO DE MORAES,VILA ROMANA,20469
-23.46552014,-46.66148901,2788837,UBS VILA DIONISIA,VILA DIONISIA,41858
-23.46059561,-46.67350531,2787555,UBS J LADEIRA ROSA,BRASILANDIA,23303
-23.52570891,-46.44571066,4050215,UBS V SANTANA,VILA SANTANA,39216
-23.58693838,-46.40663624,2774771,UBS CIDADE TIRADENTES I,CIDADE TIRADENTES,17817
-23.49318981,-46.60080671,2788993,UBS V IZOLINA MAZZEI,VILA IZOLINA MAZZEI,15426
-23.50922942,-46.66421413,2091712,UBS DR WALTER ELIAS CASA VERDE,CASA VERDE BAIXA,10620
-23.46599221,-46.69644356,2787466,UBS J ICARAI BRASILANDIA,BRASILANDIA,18291
-23.68545055,-46.78411961,2787768,UBS J SAO BENTO,JARDIM SAO BENTO,30227
-23.52632046,-46.47961378,2787806,UBS J SAO NICOLAU,JAD S NICOLAU,27952
